player,gp,gb_pg,ct_pg,to_pg,DCI
Total,19.0,15.526315789473685,8.052631578947368,14.210526315789474,13.821052631578945
"Lahah, Izzy",2.0,3.5,4.0,0.5,7.9
"Vandiver, Coco",19.0,1.7894736842105263,2.1052631578947367,0.15789473684210525,4.189473684210526
"Benoit, Kaci",19.0,1.7894736842105263,0.631578947368421,0.2631578947368421,2.336842105263158
"Horvit, Ana",3.0,2.0,0.6666666666666666,0.6666666666666666,2.2666666666666666
"Caramelli, Joely",19.0,1.2105263157894737,0.5789473684210527,0.42105263157894735,1.5684210526315792
"DeVito, Sam",19.0,1.1578947368421053,0.6842105263157895,0.5789473684210527,1.5157894736842104
"Clark, Superia",16.0,0.875,0.8125,0.4375,1.5
"Guyette, Daniella",19.0,1.4736842105263157,0.10526315789473684,0.42105263157894735,1.263157894736842
"Vogelman, Alexa",19.0,1.3157894736842106,0.6842105263157895,1.4210526315789473,1.0
"Guzik, Molly",19.0,0.7894736842105263,0.42105263157894735,0.7368421052631579,0.7052631578947369
"Muchnick, Emma",19.0,1.4210526315789473,0.47368421052631576,1.631578947368421,0.6842105263157894
"Reber, Lexi",8.0,0.625,0.125,0.25,0.575
"Blesi, Ella",1.0,2.0,0.0,2.0,0.3999999999999999
"Desimone, Carlie",15.0,0.5333333333333333,0.13333333333333333,0.4666666666666667,0.32
"Cotter, Mileena",19.0,0.5789473684210527,0.5263157894736842,1.368421052631579,0.11578947368421044
"Hanlon, Allie",,0.0,0.0,0.0,0.0
"Peers, Ava",,0.0,0.0,0.0,0.0
"Boggs, Kendall",,0.0,0.0,0.0,0.0
"Nash, Alice",,0.0,0.0,0.0,0.0
"Bethea-Jones, Chloe",,0.0,0.0,0.0,0.0
"Olsen, McKenzie",,0.0,0.0,0.0,0.0
,,0.0,0.0,0.0,0.0
"Basciano, Julia",2.0,0.0,0.0,0.0,0.0
"Rich, Mackenzie",,0.0,0.0,0.0,0.0
"Rowley, Payton",,0.0,0.0,0.0,0.0
"Peters, Bri",,0.0,0.0,0.0,0.0
"Trinkaus, Caroline",19.0,0.3157894736842105,0.2631578947368421,0.8421052631578947,-0.04210526315789476
"Rode, Meghan",17.0,0.058823529411764705,0.0,0.23529411764705882,-0.12941176470588234
"Parker, Annie",15.0,0.06666666666666667,0.0,0.26666666666666666,-0.14666666666666667
"Volpe, Ashlee",8.0,0.625,0.125,1.25,-0.22499999999999998
"Britton, Gracie",19.0,0.42105263157894735,0.0,0.8421052631578947,-0.25263157894736843
"Adamson, Olivia",3.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,-0.8000000000000003
"Ward, Emma",19.0,0.3157894736842105,0.10526315789473684,2.1578947368421053,-1.2842105263157895
