player,gp,g,a,pts,sh,sog,shot_pct,goals_pg,assists_pg
Total,19.0,235.0,112.0,347.0,538.0,402.0,0.747,12.37,5.89
"Muchnick, Emma",19.0,34.0,7.0,41.0,71.0,55.0,0.775,1.79,0.37
"Trinkaus, Caroline",19.0,32.0,11.0,43.0,72.0,57.0,0.792,1.68,0.58
"Ward, Emma",19.0,30.0,46.0,76.0,77.0,55.0,0.714,1.58,2.42
"Vogelman, Alexa",19.0,21.0,6.0,27.0,46.0,35.0,0.761,1.11,0.32
"Cotter, Mileena",19.0,21.0,2.0,23.0,50.0,38.0,0.76,1.11,0.11
"Britton, Gracie",19.0,20.0,10.0,30.0,41.0,33.0,0.805,1.05,0.53
"Caramelli, Joely",19.0,16.0,4.0,20.0,46.0,29.0,0.63,0.84,0.21
"Guzik, Molly",19.0,14.0,5.0,19.0,34.0,23.0,0.676,0.74,0.26
"Volpe, Ashlee",8.0,14.0,2.0,16.0,31.0,22.0,0.71,1.75,0.25
"Adamson, Olivia",3.0,10.0,6.0,16.0,18.0,13.0,0.722,3.33,2.0
"DeVito, Sam",19.0,8.0,2.0,10.0,12.0,11.0,0.917,0.42,0.11
"Parker, Annie",15.0,6.0,1.0,7.0,13.0,9.0,0.692,0.4,0.07
"Desimone, Carlie",15.0,3.0,9.0,12.0,12.0,9.0,0.75,0.2,0.6
"Peters, Bri",,2.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0
"Rowley, Payton",,1.0,0.0,1.0,3.0,2.0,0.667,0.0,0.0
"Rich, Mackenzie",,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
"Rode, Meghan",17.0,1.0,0.0,1.0,3.0,2.0,0.667,0.06,0.0
"Guyette, Daniella",19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Benoit, Kaci",19.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0
"Horvit, Ana",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Reber, Lexi",8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
"Basciano, Julia",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Boggs, Kendall",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vandiver, Coco",19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Olsen, McKenzie",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Blesi, Ella",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lahah, Izzy",2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0
"Clark, Superia",16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bethea-Jones, Chloe",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nash, Alice",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Peers, Ava",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hanlon, Allie",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
